ID;Anime;Character;Quote;;;;;;;;
174;(Magic-Kyun! Renaissance);Rintarou Tatewaki;Smile. Not for anyone else, but for yourself. Show yourself your own smile. You'll feel better then.;;;;;;;;
175;(Boku dake ga Inai Machi);Satoru Fujinuma;"Every day, the words cross my mind.  ""If I had done this back then..."" but they don't take the sincere form of regret.  The words are just an excuse that come to my mind then disappear.";;;;;;;;
176;(Kokoro ga Sakebitagatterunda.);Sakagami Takumi;I'd talk, but... I fell into the habit of not saying what I really felt, somewhere along the way. And then I started believing that there wasn't anything... that I really wanted to tell anyone.;;;;;;;;
177;(Nekomonogatari: Kuro);Meme Oshino;"It's not like people only look for help by saying ""please help me."" In similiar vein, it's not like you're only in love with someone if you say ""I love you."" Everyone has things they can't say on impulse.";;;;;;;;
178;(Golgo 13);Duke Tōgō;Pride is an eminent trait, but too much will cause arrogance. That is when it becomes disgusting.;;;;;;;;
179;(Eureka Seven);Eureka;It's not like something is going to happen because I believe in it.  Sometimes you end up worse off because you believed in something too much. There are times it's tough to believe in something.;;;;;;;;
180;(Koe no Katachi);Shouya Ishida;I intended to listen to your voice, but it really was nothing but intentions. It's pretty obvious, huh? Of course there's more going on than what people choose to tell you... But I convinced myself that was all there is to a person. I knew that, but still I interpreted the stuff I didn't understand about you in ways convenient for me... That's just how I am.;;;;;;;;
181;(Haikyuu!! Second Season);Tooru Oikawa;Today might be the chance to grasp the chance to let your talent bloom. Maybe tomorrow, the day after, or next year... Maybe even when you're thirty. I'm not sure if physique has anything to do with it, but if you think that it will never come, it probably never will.;;;;;;;;
;;;;;;;;;;;
183;(Steins;;;;;;;;;;
Stars; too; have their own beginnings; but their own power results in their destruction. — Finite.;;;;;;;;
It is those who possess wisdom who are the greatest fools. History has shown us this.;;;;;;;;;;;
"You could say that this is the final warning from God to those who resist. """;;;;;;;;;;;
184;(Barakamon);Handa Seishū;Simplicity is the easiest path to true beauty.;;;;;;;;
185;(Bungou Stray Dogs 2nd Season);Osamu Dazai;Stop pitying yourself. Pity yourself, and life becomes an endless nightmare.;;;;;;;;
186;(Gintama);Gintoki Sakata;For a pregnant woman to give birth, she's gotta feel the pain of pulling a watermelon out of her nostril. For an Artist to create a masterpiece, he's gotta feel the pain of pulling entire galaxies out  of his ass.;;;;;;;;
187;(Isshūkan Friends);Shougo Kiryuu;You can only become friends by talking to people and finding out whether you get along.;;;;;;;;
188;(Bungou Stray Dogs 2nd Season);Osamu Dazai;Anything I would never want to lose is always lost. It is a given that everything that is worth wanting will be lost the moment I obtain it. There's nothing worth pursuing at the cost of prolonging a life of suffering.;;;;;;;;
189;(Citrus);Mei Aihara;The two of us aren't so different. My whole life I've desired from others. I felt bitter to the people around me and I closed off my heart...and a heart that lets nothing in..will become empty before you realize it. But in this world, you'll sometimes meet meddlesome people who will, even without asking, give you the love you need. And for someone like you or me, meeting such a person is very blissful.;;;;;;;;
190;(Teen Spirit);Shin Woo Baek;"You can become happy right now."" I won't say these types of absurd lies. However, if you get through these current hardships and survive - a time where you can be happy will come.";;;;;;;;
191;(One Piece);Jinbei;It may be hard right now... But you must silence those thoughts! Stop counting only those things that you have lost! What is gone, is gone! So ask yourself this: What is there... that still remains to you?!;;;;;;;;
192;(Kill la Kill);Satsuki Kiryuuin;A castle that vanishes at the first gust of wind is worthless. A skyscraper within your mind will never fall down.;;;;;;;;
193;(Atelier Escha & Logy: Alchemists of the Dusk Sky);Escha Malier;What's important is not what's right, but what we believe is right.;;;;;;;;
194;(Denpa Kyoushi);Minako Kanou;Unlike in manga and anime, in real life, no heroes can save you when you're down.;;;;;;;;
195;(Durarara!!);Shinra Kishitani;Even if everyone in the whole world dies, I won't care, as long as my beloved survives.;;;;;;;;
196;(Tower Of God);Ja Wangnan;I believe the difference between those up there and me is the question of whether you have given up or not.;;;;;;;;
197;(The Legend of the Legendary Heroes);Ryner Lute;People don't kill people, really. Monsters do. Monsters like war, hungry nobles, and greedy kingdoms. And monsters like me, not you.;;;;;;;;
198;(Karneval);Akari;Our lives become a reality through the most meticulous calculations. Doing our best to continue living is a resolution ingrained in all of us. And this shapes the right future for us. You could say it is life’s greatest mystery. I want to observe the destination reached by the many lives that are created.;;;;;;;;
199;(Welcome to Irabu's Office);Jun'ichi Hoshiyama;This world offers no guarantees for the future.;;;;;;;;
200;(Natsume Yuujinchou);Takashi Natsume;It's times like this that I wish I could come up with an appropriate response.  I hate myself for not being able to reply properly.  ;;;;;;;;
201;(Arakawa Under the Bridge);Kou Ichinomiya;Leaving my mother's body, for the first time I learned the chill of cold air and the warmth of human hands.;;;;;;;;
Cradled by my father and carried out of that room; for the first time; I learned the extent of the;;;;;;;;;
sky and the vast expanse of the world.  Stepping off my everyday path; I learned my own laugh;;;;;;;;;;
which I'd never yet heard. Beyond...Beyond this planet..To learn what I still don't know. One more step beyond...;;;;;;;;;;;
"Closer to you.""";;;;;;;;;;;
202;(Senki Zesshō Symphogear);Chris Yukine;And the one person who I thought understood me was just using me all along. No one ever treated me as an equal. Adults are all trash. They didn't listen when I said that it hurt. They didn't listen when I told them to stop. They didn't listen to anything I said!;;;;;;;;
203;(Bleach);Kyouraku Shunsui;That’s just the way it is. Change is inevitable. Instead of resisting it, you’re better served simple going with the flow.;;;;;;;;
204;(Bungou Stray Dogs 2nd Season);Osamu Dazai;Man fears death and yet, at the same time, man is drawn to death. Death is endlessly consumed by men in cities and in literature. It is a singular event in one's life that none may reverse. That is what I desire.;;;;;;;;
205;(Karneval);Yogi;While it takes time to recover from the loss of a loved one, having an opportunity to take your mind off things helps too.;;;;;;;;
206;(Yojouhan Shinwa Taikei);Higuchi Seitarou;The root of all your evil is in always relying on one of your other possibilities to get your wish. You must accept that you are the person here, now, and that you cannot become anyone else other than that person.;;;;;;;;
207;(Yu-Gi-Oh! Arc-V);Reiji Akaba;No matter how careful your risk hedging is, there will still be holes in your plan! Realizing them and making sure that they are promptly dealt with, is the duty of those who stand at the top.;;;;;;;;
208;(Yu-Gi-Oh! Arc-V);Yuzu Hiiragi;Smiles are what connect people! It allows them to communicate through their souls! Souls that are connected... Will never lose to power that only relies on control!;;;;;;;;
209;(Tower Of God);Twenty-Fifth Baam;Your god is a fragment of your imagination from your weakness.;;;;;;;;
210;(Ore Monogatari!!);Takeo Gouda;I have no idea what you really want, what you're really thinking, or what the right thing to do really is. But I'm your friend. Let me stay.;;;;;;;;
211;(Amagi Brilliant Park);Seiya Kanie;Anyway, here's my point. Trivial setbacks like yours and mine are nothing but common occurrences in everyday life! Getting hung up over pointless crap like that shows that you're a joke! A complete and utter joke!;;;;;;;;
212;(Bleach);Kuchiki Byakuya;Remember that a sword held by someone who is about to die… will never be able to protect anything. ;;;;;;;;
213;(Days (TV));Tsukamoto Tsukushi;Life isn't about counting all the things you've lost, It's about increasing the number of important things in it.;;;;;;;;
214;(JoJo's Bizarre Adventure: Phantom Blood);Dio Brando;Jojo, being human means having limits. I've learned something. The more carefully you scheme, the more unexpected events come along;;;;;;;;
215;(Bleach);Shigekuni Yamamoto-Genryusai;Do not live bowing down. You must die standing up. ;;;;;;;;
216;(JoJo's Bizarre Adventure: Stardust Crusaders);Jotaro Kujo;Evil is when you use the weak for your own gain and crush them under your foot.;;;;;;;;
217;(Bleach);Ichimaru Gin;Are you afraid? You don’t want to die, do you? Not just Abarai, if anyone… acts upon the thought of not wanting you to die, you will suddenly begin to fear your impending death, right? ;;;;;;;;
218;(JoJo's Bizarre Adventure: Phantom Blood);William A. Zeppeli;Courage must know fear and make fear its own! Fear upsets breathing! Conquer fear and your breath will never fail you! Hamon breathing comes from courage! A good human is a brave human! Courage is a marvel of humanity!;;;;;;;;
219;(Durarara!!);Vorona;A city far away from my homeland.  There, after becoming acquainted with strangers, have I changed, perhaps?  That uncontrollable impulse I harbored within me...Has it faded away now, I wonder? What exactly am I doing here in this city?;;;;;;;;
220;(Whistle!);Soujuu Matsushita;Each one of them has something to improve. Victory doesn't come from technique or power alone. In the end, what's needed is a heart that won't give up. The only question is -- Do they have what it takes to push beyond their limits?;;;;;;;;
221;(Sakamoto desu ga?);Ryou;Have a dream that you can achieve within your lifetime!;;;;;;;;
222;(Reikenzan: Hoshikuzu-tachi no Utage);Oubu;Old techniques created by others will never be your own. Only what you create and experience for yourself can become your own.;;;;;;;;
